selected_variables.Longitude,selected_variables.Latitude
145.147135,-35.801703
144.947353,-35.494452
144.825255,-36.09356
145.014137,-35.795329
144.96093,-35.866985
142.607876,-34.211914
145.792662,-41.169088
142.995158,-38.618065
144.358638,-38.074137
144.294405,-38.196007
144.97992,-37.832213
144.875183,-37.676012
144.809097,-37.792555
144.313125,-38.144494
138.902267,-35.068097
144.993425,-37.661824
143.664305,-38.771892
138.709812,-34.993013
138.59593,-34.975028
144.904268,-37.688433
138.5372,-34.931225
144.994421,-38.325375
144.973572,-37.770178
145.289951,-37.889548
140.942301,-38.052397
145.044488,-37.896441
144.324789,-38.338491
138.599243,-34.918074
145.611475,-42.441581
144.919077,-37.765345
138.620453,-34.996517
144.911117,-37.79727
144.847872,-38.386849
144.7303,-37.5546
138.536952,-35.036733
145.460946,-36.141575
145.033556,-37.620468
145.472012,-37.926898
145.441996,-38.070077
145.645694,-37.793171
145.244699,-37.936823
144.192941,-37.646533
144.990285,-37.792148
138.164047,-35.612359
143.899043,-37.641248
145.100739,-38.011433
145.544292,-37.665043
144.02366,-37.967556
145.075032,-37.789167
144.318571,-38.303382
143.996858,-37.688766
144.22314,-37.902512
145.49614,-36.994787
145.266738,-37.86347
138.314744,-35.528918
145.538777,-38.401449
144.997239,-37.877147
144.960677,-37.655331
145.012589,-37.786422
145.273486,-38.505299
138.63496,-34.969948
144.957218,-38.315117
144.979054,-40.955728
138.514314,-35.110325
145.02928,-37.912621
145.280883,-37.977498
144.178391,-38.420511
138.681427,-34.970138
145.530272,-37.660951
145.160671,-37.967024
145.031673,-37.703831
138.599794,-34.878906
142.533256,-38.355909
144.323252,-38.170047
145.055328,-37.986947
144.934398,-37.738767
138.613197,-35.064611
145.6196,-37.782717
145.141843,-38.184194
144.047142,-37.724574
138.77242,-35.063884
144.296147,-38.352247
144.915088,-37.743465
144.810266,-37.656023
145.609622,-37.614962
145.036613,-37.873955
142.716191,-37.342122
145.16695,-37.837355
145.092351,-37.899979
145.347737,-38.555935
144.984226,-37.843369
145.162301,-38.082334
138.830567,-35.161288
145.40698,-38.535734
145.02182,-37.828423
145.099781,-37.868297
143.865519,-37.537256
145.26961,-37.813775
138.65,-34.8
138.626963,-34.838778
145.130692,-37.94638
