selected_variables.Longitude,selected_variables.Latitude
-122.843637,49.159633
-161.795945,60.822671
-124.020264,48.415455
-120.428815,37.377274
-123.709403,48.804195
-124.984081,49.682174
-118.368116,37.350667
-123.655597,48.32334
-113.667053,48.794178
-121.6149,38.106997
-125.444992,48.949827
-123.807964,48.991509
-111.371238,44.491312
-123.013668,45.555505
-116.750918,45.125011
-122.855347,39.120827
-125.160439,48.874175
-121.43275,38.589671
-135.996464,59.395178
-121.105,40.276
-121.975997,49.193317
-122.277856,44.159659
-112.526944,53.375833
-110.732153,43.693413
-122.812622,46.29663
-114.167722,46.235894
-121.802804,38.526736
-121.629181,38.524689
-122.009269,49.227006
-123.527898,48.450257
-127.083922,50.603523
-123.39687,48.674614
-111.476257,40.496747
-122.789235,38.360589
-128.150469,51.640353
-120.38564,39.473825
-125.320419,48.87502
-121.625832,38.53881
-122.48269,47.542275
-112.501205,49.342832
-124.020042,41.235387
-121.61536,38.530081
-120.42122,39.474071
-114.020157,50.9068
-123.360008,49.433945
-126.621161,50.620042
-117.075135,44.871542
-121.0533,37.835408
-123.185158,49.096956
-121.641168,38.009286
-121.513595,38.171924
-135.631371,57.015786
-121.410989,43.936693
-123.368916,47.433835
-122.453517,48.753649
-123.777882,48.369227
-122.586217,38.350603
-122.041393,42.122007
-112.862328,49.738835
-122.71823,38.484822
-114.086475,50.929566
-123.462313,48.50188
-113.991315,50.93277
-118.554441,46.047907
-122.271269,41.206514
-122.155963,47.744339
-122.672203,47.91883
-121.550985,38.697897
-124.675813,49.497671
-121.641442,38.57959
-125.205278,49.955503
-108.569727,42.910643
-123.94133,45.679088
-122.503249,47.354973
-109.69123,40.184288
-111.741575,40.239242
-123.08625,44.783499
-121.839716,39.314491
-123.340478,47.522752
-123.378936,48.512137
-120.109749,38.996229
-123.53392,48.79966
-123.20835,49.63282
-123.393746,48.649814
-123.306038,48.850933
-122.159758,38.024347
-124.483642,48.550304
-121.468141,39.0711
-125.911671,49.153345
-121.627873,39.34317
-122.201693,47.481803
-122.757039,49.137266
-116.238834,43.634835
-120.954738,56.350125
-121.964884,48.526747
-114.013309,50.941687
-114.040352,51.278474
-114.013267,55.908895
-124.491445,48.333257
-124.282431,48.483146
-128.130112,51.653602
-121.310623,44.06522
-127.390602,50.698139
-117.04844,46.384235
-121.537309,38.519256
-111.485037,42.804825
